tconst;title;primaryTitle;startYear;genres;production_countries;popularity;poster_path;actors;directors;averageRating;numVotes;combined_features;index
tt11373548;Undocumented Unafraid;Undocumented Unafraid;2020;Documentary;Mexico, United States of America;0.6;/tMF32BDdk0IC5pojPHaTHwON6Fk.jpg;Milton Benitez;Arturo Pulido;9.6;15;Undocumented Unafraid Documentary Milton Benitez Arturo Pulido;0
tt0439292;Hidden Secret;Hidden Secret;2003;Drama,Mystery,Thriller;Mexico;0.757;/f69BYDF9pJwxBrrjeImAfUtEECs.jpg;Tania Arredondo, Héctor Bonilla, Rodrigo Cachero, Martín Casanova, José Luis Chávez, Samantha Ciangherotti, Tania de la Fuente, Emmate, Larrisa Emmate, Oswaldo Garcés;Emilio Ramon Vidal;9.3;28;Hidden Secret Drama,Mystery,Thriller Tania Arredondo, Héctor Bonilla, Rodrigo Cachero, Martín Casanova, José Luis Chávez, Samantha Ciangherotti, Tania de la Fuente, Emmate, Larrisa Emmate, Oswaldo Garcés Emilio Ramon Vidal;1
tt1679275;Reminiscences;Reminiscences;2010;Documentary,Family;Peru;0.6;/2nm5fmBN2zjT7rvZSZ3HQQiAQqK.jpg;;Juan Daniel Fernández Molero;9.2;53;Reminiscences Documentary,Family  Juan Daniel Fernández Molero;2
tt2659210;Silo;Silo;2015;Biography;Argentina;0.6;/rpMgWEeCbiKWiv1v3dxGvbtHXYx.jpg;Vane Miller, Osmar Núñez, Gastón Pauls;Leandro Bartoletti;9.2;14;Silo Biography Vane Miller, Osmar Núñez, Gastón Pauls Leandro Bartoletti;3
tt22177922;Mi Gallo;Mi gallo;2024;Drama;Mexico;0.0;/bdPZLYWypanuIYfCB8ioeuGuIEm.jpg;Escalante Alejandro, Alfredo Rios El Komander, Guillermo Iván, Oscar Lopez Camaron, Oscar Lopez;Miguel Molleda;9.1;71;Mi gallo Drama Escalante Alejandro, Alfredo Rios El Komander, Guillermo Iván, Oscar Lopez Camaron, Oscar Lopez Miguel Molleda;4
tt0222023;Long Sleepless Nights;Long Sleepless Nights;2000;Drama;Mexico;0.6;/4WGWQ1bbRV5iZN0dTvYW5WWESeM.jpg;Juan Carlos Torres, Mario Oliver, Roberto Cobo, Clarisa Rendón, Salvador Hernández, Miguel Loaiza, Guadalupe Marín;Julián Hernández;9.1;14;Long Sleepless Nights Drama Juan Carlos Torres, Mario Oliver, Roberto Cobo, Clarisa Rendón, Salvador Hernández, Miguel Loaiza, Guadalupe Marín Julián Hernández;5
tt1853724;Totality;Totality;1999;Documentary,Music;Chile, China, France, Turkey, Venezuela;0.6;/bBsQwy7DGrv6noCiGnGp0yruo7m.jpg;;Billy Mallery;9.0;41;Totality Documentary,Music  Billy Mallery;6
tt2782332;Lion Ark;Lion Ark;2013;Action,Adventure,Documentary;United Kingdom, United States of America, Bolivia;1.21;/69dXY3GyRLJiBpK35xzfInoUVyt.jpg;;Tim Phillips;9.0;40;Lion Ark Action,Adventure,Documentary  Tim Phillips;7
tt11976108;Danny 45;Danny 45;2022;Crime,Drama;Spain, Dominican Republic;2.034;/uwG1A5L0nhy0pTZMyEatAImor86.jpg;Ramón Emilio Candelario, Jalsen Santana, Antonio Melenciano, Miguel Ángel Martínez, Jose Cruz, Vladimir Acevedo, Canario Joseph, Raymond Moreta, Miguel Lendor, Danny Fernández;Gilbert de la Rosa;8.9;83;Danny 45 Crime,Drama Ramón Emilio Candelario, Jalsen Santana, Antonio Melenciano, Miguel Ángel Martínez, Jose Cruz, Vladimir Acevedo, Canario Joseph, Raymond Moreta, Miguel Lendor, Danny Fernández Gilbert de la Rosa;8
tt5635522;The Other Penelope;The Other Penelope;2019;Crime,Drama,History;Dominican Republic;0.602;/A4Ktbi2qFt3Qvyqh002TkqJtvAv.jpg;Shalim Ortiz, Francisco Gattorno, Frank Perozo, Massiel Taveras, Anthony Alvarez, Mario Peguero, Luis del Valle, Miguel Ángel Martínez, Francis Cruz, Pachy Méndez;Bladimir Abud;8.9;61;The Other Penelope Crime,Drama,History Shalim Ortiz, Francisco Gattorno, Frank Perozo, Massiel Taveras, Anthony Alvarez, Mario Peguero, Luis del Valle, Miguel Ángel Martínez, Francis Cruz, Pachy Méndez Bladimir Abud;9
